start	end	text
0	1000	"Val | Facultad de Ingenieria Geoldgica, Minera y Metalurgica Unidad de Investigacion PROJECT NAME: ""Unknown Metals and Minerals in the Pre-Hispanic Mummies of the Ica Region"" PROJECT START DATE: 2022 EXECUTIVE STAFF: @ Dr. Ing. Toribio Pando, Pedro Angel @ Dr. Ing. Rosales Huamani, Jimmy Aurelio @ Dr. Ing. Landauro Abanto, Alberto @ Dr. Ing. Valverde Espinoza, Santiago Gualberto @ MSC. Eng. Mauricio Perez, Felix @ MSC. Lic. Ily Marilu Maza Mejia @ MSC. Guerrero Villalba, Juan Carlos @ Dr. Cremer, Sabine @ Sullca Quispe, Kevin Josué @ Leon Colqui, Yelwins Anthony JULY, 2023 Av. TU pac Amaru N° 21 0, Lima 25, Peru Escuelas Profesionales de Ingenieria acreditadas por: Teléfono: 381-5630/ Central Telefonica: 481-1070 Anexo 4207 Email: investigaciénfigmm@uni.edu.pe oes Acereditation ABET Commission 1 SUMMARY The tridactyl mummies of Nasca have caused uncertainty in the scientific world since 2016. Although it is unlikely that the bodies will be falsified, at least according to current scientific knowledge, the many metal implants remain confusing. Its final composition is unknown in detail. Only their analysis can prove without a doubt which metals were used in antiquity and how. In addition, rock deposits can provide information on the extent to which certain minerals and metals were likely used in the area. Possible chemical compounds beyond that should also be the subject of a thorough scientific analysis before pseudo-scientists or ufologists report on the subject and ridicule the issue. In this research report, an attempt has been made to present evidence or indications regarding the nature of the three-fingered mummies (tridactyls) from Nasca, which could then be used to prove their veracity or, conversely, whether the objects are a new quality of mummy forgeries made with a technique unknown to date. X-ray of Josefina's mummy, abdominal part with eggs, right part of the pectoral implant Taken from Alien Project (GAIA). Av. Túpac Amaru N° 210, Lima 25, Perú Escuelas Profesionales de Ingeniería acreditadas por: 2 INTRODUCTION 2.1 Tridactyl mummies Two types or species of tridactyl mummies are known to date: 1) The small mummies of about 60 cm named ""Albert"", ""Victoria"" and ""Luisa"" that are currently at the University of San Luis Gonzaga in Ica, and previously there was a mummy called ""Josefina"" of the same size that, after some studies carried out by institutions and organizations, was claimed by its discoverer. Its current location is not known. The characteristics of these mummies are, among others: an elongated skull containing a desiccated brain, an auditory canal without a pinna, a single bone at a time in the forearm and the front leg, almost circular ribs, the atlas square instead of circular, hollow bones like birds, they share only about 30% of the DNA with homo"
1000	2000	"sapiens. The anatomy coincides with that of a human being in the presence of the main parts of a human skeleton, but with great differences in its structure such as the number of vertebrae, the type of bone, it does not have two clavicles but only one furcula as in birds, the parts of the knee fit together almost like gears, and there is the presence of one or more implants in each of the mummies, etc. The implants in mummies considered female are the largest and most complex, as shown by X-rays and CT scans. Av. Túpac Amaru N° 210, Lima 25, Perú Escuelas Profesionales de Ingeniería acreditadas por: Left: details of the small tridactyls, right: details of the skull and vertebrae of the 60 cm tridactyls Source: Dr. J. de la Cruz Ríos López (Mexico) 2) The other specimen is the 168 cm ""Maria"" mummy with human and other unknown features. It is considered a hybrid. Without going into details, only a few features of this mummy are mentioned, such as (according to Professor Galetskii, University of St. Petersburg): elongated skull; a single bone in the forearm and front leg; spine equal to that found in a human body, the only difference is in the absence of vertebra No. 7; there is no coccyx in it; In the lumbar part, there is an abnormality which is probably a melanoma; in the cut, there are two unidentified hard objects, they are neither metal nor bones; in the limb part there are wounds which present a shape as if they had been caused by the long claws of an animal such as a puma; there are faecal remains, the socalled coprolites in the digestive part; in the fingers there are no muscles that connect the phalanges and each finger has four phalanges; The heel has a different shape that would not have allowed the entire sole of the foot to be in contact with the surface of the earth, on the Av. Túpac Amaru N° 210, Lima 25, Perú Escuelas Profesionales de Ingeniería acreditadas por: contrary, when walking, it rested only on the heel and toes. Otherwise, Maria's anatomy coincides with that of a human being. No implants were found. Mummy Maria CT Source: Alien Project (GAIA) Figure 4. X-ray of the mummy Maria Source: Alien Project (GAIA) Av. Túpac Amaru N° 210, Lima 25, Perú Escuelas Profesionales de Ingeniería acreditadas por: 2.2 Objective, Purpose and Approach The South American subcontinent and Peru in particular are strongly influenced by foreign research. In particular, traditional knowledge such as medicine and agriculture, but also various types of stories, is not usually written down and transmitted orally from one generation to the next."
2000	3000	It is a second world of knowledge that follows its own rules and has many very different forms. These influences of orality and the still rare interpretation of historical traditions on ceramics and textiles make a problem such as the exploration of unknown bodies a particular challenge when it comes to investigating their origin. One of the goals of the research project was to bridge the gap between the written and verbal historical knowledge and the presence of the petroglyphs from Palpa (Ica Department) and Toro Muerto (Arequipa Department) and the question of how the two information systems could best complement each other to trace the truth about the Nasca mummies. It was very important that in addition to the unbiased research on the age of the mummies, their origin and their DNA, research was carried out that paid attention to the implants that can be found in each of the small mummies of about 60 cm. The available information on implants in mummies is mainly presented in the INGEMMET report of February 2017. An important objective of this research was the analysis of samples taken from one of the implants of the Luisa mummy. We were also interested in finding out if any cuts or traces of glue were visible on the mummies' skin. Therefore, the goal of any investigation should be to separate the improbable from the probable according to our knowledge, placing emerging indicators for or against the authenticity of the mummies, in the historical and current context according to the analysis of implants, bodies of the mummies, some rocks and sediments of the area. Av. Túpac Amaru N° 210, Lima 25, Perú Escuelas Profesionales de Ingeniería acreditadas por: 2.3 Problem and initial situation In the regions of Peru where there are a large number of artifacts and mummies, the number of huaqueros has exploded in a few decades. In particular, the excavations that surrounded the discovery of the Lord of Sipán have contributed significantly to this since the end of the last century. It is therefore difficult for current research, especially when it comes to selling important historical finds to wealthy collectors abroad without being aware of it, to create as accurately as possible the overall picture of a complex culture and to arrive at a correct knowledge of the way of life of its bearers and their intercultural contacts. The mummies of Nasca, which have been completely torn from a funerary context and some of which show serious damage, unfortunately add to this problem the effects of the huaqueo. The acceptance of scientific results, taught by reputable institutes and universities (Abraxas, University of St. Petersburg, Lakehead University, Biotecmol, etc.) is hampered by the trajectory of
3000	4000	"donors, among which is mainly the GAIA organization, which focuses on ufology and paranormal issues. Some of the researchers commissioned by the organization had created the basis of distrust in themselves by previously declaring other extraterrestrial mummies. Another problem is that, for example, the research of biologist Dr. Clara Martínez (Colombia) is ignored. During the press conference at the congress (Lima, Peru) in December 2018, she stated: ""The loose head from which the INKARI institute took tissue for mitochondrial DNA studies is not reliable enough to be representative of the 60 cm dried tridactyl bodies that are the subject of this study, since it has not had a scientific study for prior verification of its real biological correspondence with a complete dried tridactyl body."" She continued: ""The results of the mitochondrial DNA of this loose head and the large hand are only valid for these samples and are not comparable with the other results of the dried tridactyl bodies because they do not present a scientific study that allows these loose pieces to be associated with the complete bodies studied. From a scientific point of view, the results of the mitochondrial DNA obtained by the INCARI institute cannot be extrapolated to explain the DNA of the 60 cm dried tridactyl bodies that have been studied by the Gaia and Tercer Milenio teams.... The analysis of the DNA... of this loose head shows 100% belonging to Homo sapiens. This result cannot be used to call into question the results of the massive sequencing by BioTecmol and the Federal University of Av. Túpac Amaru N° 210, Lima 25, Perú Escuelas Profesionales de Ingeniería acreditadas por: St. Petersburg carried out with the tissue extracted from the vertebrae of Victoria (dried tridactyl body without head)... "" Figure 5. CT of the mummy ""Wawita"". Source: Alien Project (GAIA). There are pieces with a size of about 30 cm that were undoubtedly assembled from animal parts. The research team led by French archaeologist Thierry Jamin and Mexican journalist Jaime Maussan reported the fact. At the press conference in December 2018, Prof. Galetskii from the University of St. Petersburg explained the X-rays of the so-called Wawita mummy. They clearly showed that the child had five toes on each hand and five on each foot, and that from each of these limbs two fingers had been artificially removed post-mortem. The child likely suffered a violent death, as wounds were discovered in his abdomen caused by a sharp object such as a knife. Av. Túpac Amaru N° 210, Lima 25, Perú Escuelas Profesionales de Ingeniería acreditadas por: By testing the handling of the child's cadaver by means of radiographic images and CT scans, comparisons can be made with images"
4000	5000	of tridactyl mummies, from which such violent interventions can be excluded. Figure 6. Skull carved alone and large hand. Source: Inkarri - Cusco. 2.4 Risks 2.4.1 Coronavirus At any stage of the research, there was a risk of contagion because the vaccines developed may not offer reliable protection. The problem has been solved with the use of masks in terminals, buses and in meetings. 2.4.2 Strikes and stoppages of play Due to general discontent with rising living and energy costs, strikes broke out as early as the 2021 presidential election. Some longer-lasting strikes also hit the Ica region. At the end of 2022 and the first months of 2023, the Ica region was again affected, this time by strikes based on the arrest of the former president. These shutdowns directly affected our research, we were not able to travel to carry out the last works. Av. Túpac Amaru N° 210, Lima 25, Perú Escuelas Profesionales de Ingeniería acreditadas por: 2.4.3 Illness Due to the stressful conditions of heat and dust and the ongoing threat of the coronavirus mentioned above, the project was also at risk of being compromised at any time. 2.4.4 Lack of material/equipment Sampling and research in the outdoor domain required some materials and equipment, some of which were not available or very expensive. 3 STATUS OF THE INVESTIGATION Since 2016, there have already been several research results on various objects related to the Nasca mummies. The mummies Maria, Josefina, Louise, Victoria and Albert, from which tissue and bone samples were taken and sent abroad for analysis, deserve to be particularly noteworthy. Of particular note are the universities and laboratories of Canada, Russia and the United States, which have provided most of the knowledge to date. However, the results of research in the field of DNA, C14, forensic medicine, implant analysis have not aroused serious interest from the scientific community or the general public. This contempt, the unsuccessful requests for help from the Ministry of Culture, the insufficient conservation of the mummies, and many other things, have prevented the development of in-depth research work to this day. 3.1 Theoretical foundations The subject of this research work has links with archaeology and social history. Several theoretical references have emerged from the development of the subject and the research questions. While many disciplines develop theories deductively and apply them to empirical reality, archaeology operates in an exploratory and theory-generating manner, i.e., it develops theories from empirical materials and proceeds inductively. The theory of cultural relativism, which attempts to avoid classifying other cultures according to cultural imprint and worldview, offers some very interesting approaches in relation to this work. Cultural relativism recognizes the diversity of cultures and postulates that cultures Av.
5000	6000	Túpac Amaru N° 210, Lima 25, Perú Escuelas Profesionales de Ingeniería acreditadas por: cannot be evaluated or compared from the perspective of another culture. Cultural phenomena, such as those that might emerge from a closer analysis of the Nasca mummies and the likely site where they were found, can only be understood and evaluated from an ethnic perspective in their own context. These theoretical foundations must be kept in mind at all times, even in the context of a purely technical investigation. 3.2 Related Research Related research has been conducted on sub-fields of this topic at various institutions in Asia, Africa, Europe, and Australia. There has been evidence of manipulation and falsification of mummies in Egypt since ancient times. A few decades ago, the sarcophagus of an alleged Persian princess was examined; at that time, using common methods such as C14 and handwriting analysis, a forgery could be proven without a doubt. It has now become difficult for artifact forgers, particularly due to advances in DNA research and C14 analysis, to ensure that their fraud stands up to scientific analysis. 3.3 Preparatory work for the research project The preliminary work of the research project is based on the evaluation of the press conference of the Peruvian Congress of December 2018, in which the deputy Villanueva at the time pleaded for the deepening of the research on the mummies of Nasca and therefore called for a press conference with international participation. As experts, she has received specialists from Peru, Mexico, Colombia, France and Russia in the fields of forensics, general biology, DNA analysis and archaeology. Additional results came from the funding of Inkarri, an NGO from Cusco, GAIA and Tercer Milenio, the latter two being organizations with little credibility at the international scientific level for their relations with the field of ufology. Av. Túpac Amaru N° 210, Lima 25, Perú Escuelas Profesionales de Ingeniería acreditadas por: Most of the time, this involves analyzing genetic material and creating computed tomography (CT) images and X-rays of the mummies. Metal implants, which were not missing from any of the small mummies presented so far, were always mentioned and described as far as possible. 3.3.1 INGEMMET report, February 2017 In February 2017, the Inkarri Institute in Cusco published the results of elemental microanalyses performed by EDS (Energy Dispersion Spectroscopy) and INGEMMET on six samples sent by the INKARI-CUSCO Institute. The first sample is composed of several fragments extracted from the pectoral implant of the mummy named Josefina, three of which are collected for analysis. 5 regions in the collected fragments and a total of 70 spectra were performed with elemental mass concentration measurements for each region. Also perform an EDS mapping of the elements carbon,
6000	7000	oxygen, silicon, sulfur, chlorine, calcium, and copper for one of the three fragments. The set of mass concentration measurements performed in EDS for each area compiled in the following summary bar chart. The sample consists mainly of metallic copper (averaging 85% by mass in the purest region) and some weathering has been observed to form oxidation products such as Cuprite or plagioclase or alteration minerals such as atacamite or Brocantite. This copper also contains impurities (iron, sulfur, etc.) that can be characteristic of the minerals from which the copper Av. Túpac Amaru N° 210, Lima 25, Perú Escuelas Profesionales de Ingeniería acreditadas por: used to design the implants was extracted. These impurities may also indicate the extraction method used, in particular the presence of sulphur (probably from chalcocite-type sulphides). Sulphur and chlorine concentrations in weathering products (e.g., atakam) may indicate weathering occurring in a chlorine and/or sulphur-rich atmosphere, such as in a coastal or volcanic environment. This sample also presents mineral chemical signals (carbonates, silicates, salts) which may be exogenous inputs (clusters around the implant) or the result of in situ crystallization under specific conditions. There is also a mineral chemical signature (carbonates, silicates, salts) for this sample, which under certain conditions may be the result of exogenous input (gangue surrounding the implant) or in situ crystallizations. In the context of the research, this sample corresponds to an object from the pre-Columbian era in terms of its chemical composition (copper, whose purity - which could be improved - is completely compatible with the refining methods known and available at the time). In addition, the oxidation and weathering products observed involve slow processes and therefore allow to confirm the age of the sample object, unless it has been exposed to a very aggressive environment (contamination). The mineral signature observed would also point in this direction in the case of in situ crystallization (slow process) 3.3.1.1 Lot n°1 - sample 03: annular metal implant of a tridactyl hand Av. Túpac Amaru N° 210, Lima 25, Perú Escuelas Profesionales de Ingeniería acreditadas por: Sample: Fragment extracted from a tridactyl hand annular implant donated by Dr. Paul Ronceros to the INKARRI-CUSCO Institute. Photographs of the three-toss hand where the source object of sample 03 of lot n°1 is implanted (circled in red). For this sample, 4 areas of the sampled fragment were analyzed, for a total of 27 spectra, each with a measurement of elemental mass concentrations. Elemental mapping was also carried out on part of the fragment. Av. Túpac Amaru N° 210, Lima 25, Perú Escuelas Profesionales de Ingeniería acreditadas por: SEM image (left) and EDS acquisition spectrum (right) of Batch 1 Sample 03. This spectrum shows a zone rich in iron Fe
7000	8000	"and chromium Cr, as well as the presence of manganese Mn. Elemental mapping with elements (C, O, Si, Cr, Fe) of an area of the fragment of sample 03 of lot n° 1. Chromium is localized punctually, in the form of small inclusions. Av. Túpac Amaru N° 210, Lima 25, Perú Escuelas Profesionales de Ingeniería acreditadas por: To conclude, the following summary bar graph compiles all the mass concentration measurements made in EDS for each area: Summary table of measurements of the mass concentration of EDS in sample 03 / batch n° 1. We examined the concentrations of iron, chromium, as well as the elemental mineral signature and nickel, confined to a single zone. This sample consists of an iron-carbon alloy (on average 78% iron to 5% carbon) rich in chromium (on average 16%), however, the EDS analysis does not allow us to decide whether it is steel (stainless) or cast iron (white). It is observed that this alloy does not contain nickel in its intrinsic composition, on the one hand, it does not contain nickel, on the other hand, it is detected locally in one of the areas analyzed at an almost pure concentration (average of 85%), which would indicate the existence of a nickel passivation layer for this sample (hypothesis to be considered, apart from a possible exogenous contribution, for example through pollution). So for this sample, it would probably have been deposited by electroplating (chemical or electrolytic bath) a steel or cast iron, possibly covered on the surface with a layer of nickel. A Av. Túpac Amaru N° 210, Lima 25, Perú Escuelas Profesionales de Ingeniería acreditadas por: minerochemical signature is also observed in this sample, probably of exogenous origin (mineral gangue). For the purposes of study (apart from considerations of elemental compositions: steel or cast iron, nickel electroplating, etc.), the main ""problem"" of this sample is that there are currently no pre-Columbian manufactured objects containing objects made of an iron-based alloy. The main reason is purely technical: the civilizations of the time did not master and/or did not know the techniques necessary for the extraction and processing of iron. The only alternative to explain this fact in the hypothesis of an object created by a pre- Columbian civilization with this characteristic would be that the original object from which the parts were removed contained native iron of meteoritic origin (observed in other ancient civilizations), with an equivalent chemical composition. 3.3.1.2 Lot 1 - sample 04: metal implant of a tridactyl hand. Sample: composed of several fragments extracted from a disc-shaped implant from one of the tridactyl hands. Three fragments of this sample were taken for analysis. Figure 11. Photographs of the metal implant from which sample"
8000	9000	"04 / lot 1 is extracted. Av. Túpac Amaru N° 210, Lima 25, Perú Escuelas Profesionales de Ingeniería acreditadas por: For this sample, 3 zones were studied on the collected fragments, for a total of 23 spectra performed, each with a measurement of elemental mass concentrations. Basic mapping was also carried out. SEM image (left) and EDS acquisition spectrum (right) of sample 04/lot 1. This spectrum shows a zone rich in silver Ag and Au gold, as well as in the presence of copper Cu. EDS Elemental mapping of a sample 04 Lot 1 Zone: elements O, Fe, Cu, Ag, Au. Av. Túpac Amaru N° 210, Lima 25, Perú Escuelas Profesionales de Ingeniería acreditadas por: To conclude: the following summary bar graph compiles all the mass concentration measurements made in EDS for each area: Summary table of mass concentration measurements in the DHS of sample 04 of batch 1. Gold and silver concentrations are almost constant, as well as a mineral chemical signature. This sample is mainly composed of a gold-silver alloy (and to a lesser extent copper), in an average ratio of about 60% gold to 30% silver (about 10% copper), with no hypothesis on the possible manufacturing technique of the original object (see below). We observe the presence of other elements such as iron in an inclusive way if we refer to the basic mapping, which could give an indication of the origin of the alloy with which the object from which the 04 sample was taken was made: it could be a native gold-silver alloy compatible with Peruvian mineralogy. It is also possible that a refining technique by impoverishment gilding was applied to the object, in which the results reveal a net enrichment of gold at the surface level, in parallel with the respective decrease in copper (fig. 27). Av. Túpac Amaru N° 210, Lima 25, Perú Escuelas Profesionales de Ingeniería acreditadas por: There is also a mineralo-chemical signature (carbonates, silicates, salts) resulting from exogenous incorporation (mineral gangue enveloping the sample) or in situ crystallizations (slow processes in favor of certain conditions that would testify to the age of the source object). This gold and silver alloy has a composition that is completely consistent with the alloys used in pre-Columbian times. The presence of impurities such as the inclusion of iron points in this direction, a plausible indicator of the use of native gold and silver alloy for the design of the object, in the absence of processes fully controlled by the pre-Columbian metallurgist for the production of this type of alloy. It would also be plausible that (in the piece examined) an alloy of the ""gilding by reduction"" type was used, including a gold-silver-copper alloy characteristic"
9000	10000	"of many objects of the pre-Columbian period and much richer in copper in proportion by mass, the ""tumbaga"". 3.3.1.3 Lot 2 - sample 01: Albert's hip implant. Specimen: Fragment taken from the right hip implant of the Albert mummy, which has the geometry of a disc for referencing photographs, X-rays and CT scans. Photographs of the organism where the source object of Sample 01 of Lot 2 is implanted (circled in red). Av. Túpac Amaru N° 210, Lima 25, Perú Escuelas Profesionales de Ingeniería acreditadas por: For this sample, 3 areas of the sampled fragment were studied, for a total of 13 spectra performed, each with a measurement of elemental mass concentrations. The introduction also presents elemental mapping (chlorine, copper, silver) Figure 16. Elemental mapping of sample 01 of batch 2 (Cl, Cu, Ag). The distribution seems homogeneous at this scale. SEM image (left) and EDS acquisition spectrum (right) of sample 01/lot 2. This spectrum shows a zone rich in Ag silver, as well as the presence of copper Cu. Av. Túpac Amaru N° 210, Lima 25, Perú Escuelas Profesionales de Ingeniería acreditadas por: To conclude, the following diagram averages and represents all the mass concentration measurements made in EDS for each zone: Summary diagram of the mass concentration measurements made in the EDS in sample 01/batch 2. This sample consists mainly of a copper-silver alloy with traces of gold. This sample consists of a copper-silver alloy with a mass ratio of Approximately 10% copper to 90% silver to 10% silver to 80% copper, depending on the area analyzed. These differences are due to several factors: The main ones are the composition of the alloy used to manufacture the part (copper/silver ratio favoring certain microstructures), the manufacturing process used (casting, cold forging, finishing of the part, etc.), and the orientation of the sample during the analysis (also conditionally by its extraction from the original object). There is also a chemical-mineral signature (carbonates, silicates, salts) that could also be of organic origin due to the elements involved, especially phosphorus, which plays a role in bone composition. Av. Túpac Amaru N° 210, Lima 25, Perú Escuelas Profesionales de Ingeniería acreditadas por: For the purposes of the study, the composition of this sample is very much in line with the standard compositions listed for pre-Columbian objects made of a copper-silver alloy. The microstructure observable in the topographic images suggests that the object was created by ""cold"" stamping copper-silver alloy sheets by beating, a technique also known for shaping many objects from the pre-Columbian period. On the biocompatibility of an implant built with such an alloy, taking into account the chemical activity of copper and silver as a function of the context (pH, etc.),"
