start	end	text
0	10000	Here we have found it
10000	12000	Where did we find it?
12000	14000	Here we go
14000	16000	Look at it
16000	18000	There's a lot of garbage
18000	20000	Wait, wait
20000	22000	Where did we find it?
22000	24000	There's a dog
24000	26000	She's a dog
26000	28000	And we thought
28000	30000	What the hell is this?
30000	32000	He's a boy
32000	34000	Wait, wait
34000	36000	What the hell is this?
36000	38000	What the hell is this?
38000	42000	Well, it's clear that he's dead
42000	44000	He's dead
44000	46000	He's dead
46000	48000	He's dead
48000	49000	He gets Karl
49000	50000	He's dead
50000	50840	He's dead
60000	64820	Culling off
64820	72000	How this bugs are
72000	73000	He's dead
73000	77800	I can tell you he lies here
79220	90880	...する to me
