start	end	text
560	3440	He's frightened. He's really frightened.
3440	5160	He's screaming into the phone.
5160	8320	They said, sir, we got all the guards out.
8320	13880	They've got their weapons pointed at this red-orange pulsating light.
13880	15360	It's huge.
15360	17920	I went over to talk to my commander
17920	22120	because now I'm thinking there's something serious going on out there.
22120	24800	Before I could tell them about the phone calls,
24800	27080	we'd get a big horn go off.
27080	30280	One of the missiles went off alert status,
30280	33680	or it went from green to red.
33680	35320	No go.
35320	36520	Can't launch it.
36520	39080	And right after that one went down,
39080	41600	all of them went down, one at a time.
41600	44520	I had already been trying to get in touch with you and interview you,
44520	48120	and then this kind of ridiculous Wall Street Journal piece comes out
48120	49840	by this guy named Joel Schechtman.
49840	53160	It just seems like a really botched kind of attempt
53160	54960	at discrediting you entirely.
54960	56960	Why would they come after me?
56960	62400	Well, nuclear deterrence is the backbone of our national security.
62400	67680	A short time ago, the U.S. military carried out massive precision strikes.
67680	70480	You have Xi and Putin closer than they've ever been.
70480	74320	Iran and Israel is really a proxy war for this larger global conflict.
74320	77120	You have Pakistan having nukes.
77120	80320	Think about the amount of Al Qaeda still in northern Pakistan.
80320	82160	That could be a failed state at any moment.
82160	85600	I am gravely concerned about the situation in Pakistan.
85600	88800	If there was ever an explicit disclosure moment,
88800	93840	it might occur around us being on the brink if you have another kind of Cuban missile crisis.
93840	105360	Between September of 66 and March of 67, we lost 30 missiles to UFO activity.
106160	106480	30.
106480	117040	Our next guest was a witness of one of the most spectacular UFO nuclear-related cases we've ever had.
117040	120240	He was stationed at Malmstrom Air Force Base in Montana.
120240	125840	He was a missile launch officer there deep underground monitoring a group of 10 Minuteman missiles.
125840	132720	In March of 1967, while on duty, he received a call from an extremely frightened top side guard
132720	135280	reporting unidentified flying objects.
135280	138160	Glowing red lights hovering above the base.
138160	140320	You won't believe what happened next.
140320	143840	But the UFO appeared to interact with the nuclear weapons.
143840	146560	If this were an isolated incident, it would be one thing.
146560	147200	It's not.
147200	148400	It's a repeating pattern.
148400	152560	UFOs show up constantly around nuclear weapons in civilian energy grids.
152560	158800	The great journalist Robert Hastings has documented 167 Q-cleared witnesses
158800	161360	in his great book, UFOs and Nukes.
161360	165760	The link between UFOs and nuclear weapons is ubiquitous and widespread.
165760	170800	And our next guest's sighting at Malmstrom is one of four different sightings that I
170800	174320	am aware of in and around this particular Montana base.
174320	176000	This isn't an anomaly.
176000	180080	It's a real scientific pattern for those earnestly engaging with the data,
180080	183920	for the ones who won't just reflexively look away due to the stigma.
183920	189040	Just last month, the Wall Street Journal wrote a hit piece attempting to discredit our next guest.
189040	194560	They claimed that this whole event he witnessed was due to an experimental test of a non-nuclear EMP.
194560	200240	They cited an EMP model that wasn't even operational in 1967 and claimed that this
200240	204880	device was used on our own nuclear weapons with officers like him present.
204880	209360	The article made no sense and it really didn't even make an attempt to make any sense.
209360	214480	But it was written by a journalist that says that conspiracies around JFK's death are now
214480	217200	fueling a belief in the quote unquote deep state.
217200	222880	This journalist also just wrote an article railing against a psyop that marginalized Chinese COVID
222880	224000	vaccines.
224000	227200	Suffice it to say, I think we have very different worldviews.
227200	232000	But as you'll see in this interview with my next guest, history might not repeat, but it
232000	233280	certainly rhymes.
233280	239280	In 1967, they also tried to cover this case up using some very bad faith tactics.
239280	243680	Luckily for us, our next guest has documented the hypocrisy the entire way.
243680	248640	And even though the Wall Street Journal wouldn't let this 85 year old veteran publish a full
248640	252880	response to defend himself, he does so very eloquently here.
252880	259440	So without further ado, I'd like to welcome this week's American Alchemist, First Lieutenant Robert Salas.
261040	263120	I'm here with Bob Salas.
263120	264480	I'm so grateful to be here.
264480	265680	I appreciate you having me.
265680	272080	Um, I've been kind of citing your experience for the last two or three years on my show.
272080	277280	And so it's really cool to finally be in person and be able to, to, you know, hear it directly
277280	278080	from you.
278560	282480	And this couldn't be more timely because I had already been trying to get in touch with you
282480	283280	and interview you.
283280	288480	And then this kind of ridiculous Wall Street Journal, uh, piece comes out by this guy named
288480	289360	Joel Schechtman.
289840	294080	Clearly, you know, he's collaborating very closely, probably too closely with a guy named
294080	300000	Sean Kirkpatrick, who's the former head of the Aldo name, Aldo main anomaly resolution office.
300800	308960	And it just seems like, uh, a really botched kind of attempt at, uh, discrediting you entirely.
308960	314400	And basically saying that there was an EMP that was wheeled up to Malmstrom Air Force Base,
314400	317680	where you were first Lieutenant, you were working in the, you know, launch control facility.
318160	322320	And that is what explains these 10 nuclear missiles going down.
322320	326240	So anyways, it's very timely and I'm very grateful to be having this conversation with you.
326240	335520	I'm, I'm happy to talk about this. Uh, yes, I think there was a deliberate attempt to discredit
335520	342320	my story. Um, and, um, I've got some theories as to why that was done.
342320	342640	Yeah.
342640	346960	What are your theories as to why, or why don't we do this? Why don't we just get into the core
346960	351520	details first of what happened? And then, you know, a lot's going to be referencing that.
351520	354800	And then from there we can get into theories as to why people are trying to sabotage.
354800	363760	Uh, so in 1967, uh, I was assigned to a two man crew. Uh, my commander was, uh, Fred Mywald. Uh,
363760	370160	we were both lieutenants at the time and we were assigned to Oscar flight, which is near Lewistown,
370160	376720	Montana. No, I take that back. It's near Roy, Montana, which is about a hundred miles to the
376720	384560	east of Great Falls and Malmstrom Air Force Base located near Great Falls. So at this, uh,
384560	391200	site, we, we go underground to, uh, what we call the launch control center. And that's where we have
391200	399120	all the equipment down there to, uh, monitor and launch missiles if necessary. Uh, so on this
399120	409760	particular evening, March 24th, 1967, um, my commander, uh, was taking a rest break. We had a little
409760	419280	cut down there and I was in charge of the entire facility. Um, I get a call sometime in the evening.
419280	428960	I don't know when, uh, uh, uh, exactly. I was probably close to 9 PM or so. It was dark out
428960	436560	and the top side guard, which we call a flight security controller called down and said, uh,
436560	443120	sir, I've been seeing some strange lights in the sky, uh, overhead directly over us. Um,
444160	451280	they're strange because, uh, they're flying very fast, stopping in midair, reversing course,
451280	462960	doing 90 degree turns. Um, no engine noise. And sir, these are not airplanes. Uh, airplanes can't do
462960	472820	what this, these lights are doing. So, um, I even said, you mean like UFOs? Because we had actually
472820	482100	had, um, newspaper accounts in the Great Falls Tribune, uh, of people and, uh, like farmers and
482100	488740	citizens seeing strange lights in the sky at night that week. Yeah. Wasn't there a, there was a truck
488740	493520	driver and a police officer, if I'm not mistaken, who would also. Yeah. We'll, we'll get to that.
493620	502260	That's, that's an important part of this. Um, we can talk about it now if you want. On the same
502260	512980	night, um, and this I think was about seven 30 to eight in the evening, a truck driver was driving
512980	523540	through the town of Belt, Montana, which was about 35 miles to the Southeast of, uh, Great Falls. And,
523540	532020	uh, he looks over out his, his window and sees a bright light that's pacing him.
532900	541700	Going the same speed. And it's actually blinking at him. And he finds it a little strange. Um,
543140	553060	uh, it was just a big white ball of light to him. He stops a truck and, uh, and gets out and watches the
553060	565460	light, um, land, um, land in a ravine, uh, large ravine. Uh, he goes over there and takes a look,
565460	572340	sees it. And then, uh, then he calls the highway patrol and he wants to get somebody else to look at
572340	578900	this thing. And, uh, uh, the highway patrolman comes out. He also sees the light. The light comes
578900	584420	back up, flies off at high speed, and then comes back while the highway patrol was there.
584420	595700	Uh, they then call the, uh, uh, uh, county sheriffs. They come out, they see, uh, uh, they inspect a
595700	602180	little bit of the area where this object landed. They find some broken branches. They all decide to
602180	610500	call the air force base. We happen to have what was called a UFO officer at the base at the time
611460	618580	because of the Condon investigation. One of the air force to identify certain officers at certain
618580	625460	bases, uh, to help them with their investigation. And so they identified this particular guy,
626180	633220	a man by the name of Lieutenant Colonel Lewis Chase, who was also a base operations officer.
633220	642820	Uh, so Chase comes out. Um, I don't know if he saw the object or not, but, uh, at that time,
642820	652180	uh, but he decides that they can't bring a helicopter in that night, um, because they're not trained for,
652180	658100	uh, night operations in that area. And so, uh, he wait, he wants to wait till the morning.
658100	667940	Uh, and in the meantime, there are reports at Malmstrom Air Force Base. Objects are seen on radar. Objects are
667940	677860	seen by airmen at the base. Uh, again, bright white light, uh, flying around Malmstrom Air Force Base.
679380	687780	Um, and so, uh, Chase decides he needs to report all this. Uh, and he does in a, uh,
687780	696660	telegram to air force headquarters and also reports to Edward Condon. I writes a couple of reports.
696660	702740	I've got copies of them. Um, and they take the statement of the truck driver, et cetera.
703860	707540	And by the way, in the meantime, my missiles are shut down.
707540	713540	So you have missile security officers who are topside. They're calling down and they're saying
713540	719220	they're seeing. No, no, no security officers. These are airmen, you know, the non-commissioned
719220	728580	officers, uh, NCOs. Okay. Uh, and they're responsible for the security of the launch control facility.
729300	736420	In other words, and that's what I told him. So after the first call, we just hung up because it
736420	740100	was no point in talking about lights in the sky. I didn't think.
740100	745540	So you were like, what are you talking about? And you hung up and you were like, uh, you know.
745540	750820	Basically, yeah, I wasn't too interested in what he had to say after that. Uh, because, uh,
752660	759140	you know, he could have been seeing little stars, uh, there, I don't know. Uh, but then five minutes
759140	765300	later he calls back and this time he's frightened. He's really frightened. He's screaming into the phone.
765300	771700	He's babbling. Can't, I gotta calm him down. And finally I calm him down. He says, sir,
771700	778260	we got all the guards out. Uh, they're, they've got their weapons pointed at this red, orange
779540	789220	light, uh, pulsating light. It's huge. It's, uh, you know, I think he said 40 or some feet long. Um,
789220	795620	um, it was hard to see inside. I said, try to look inside the light and see if there's a
796180	803220	solid object in there. Uh, he said, it's, it's really difficult because it's so bright,
803220	810660	but it looks like there's some kind of a solid object in there. Old shaped is what he said. And I
810660	819860	said, uh, uh, and then he said, what do I do, sir? You know, I basically told him, I don't remember
819860	826900	the exact words, but I basically told him to make sure the secure, uh, the facility is secure,
826900	836260	that nobody enters the fenced area. Um, you know, basically it's your responsibility, right?
836260	844340	Uh, and so he hung up. He first said, uh, a guard got injured and I got to go.
845860	850660	The injury I'll talk about later, but it had nothing to do with the UFO. Um,
852420	859620	so he hung up. First thing I did is I looked over at our board, our status board that showed the
859620	864580	status of each missile. Right. And yeah, all the missiles were green at that time. Ready to go.
864580	873380	Ready to launch at any time. I went over to talk to my commander, uh, Fred Milo was taking a rest
873380	881780	break. Woke him up and started to tell him about the phone calls. And because now I'm thinking
881780	889780	there's something serious going on out there. Uh, that guy was really scared, really frightened. And,
889780	897940	um, before I could tell him about the phone calls, we'd get a big horn go off. One of the missiles
897940	906180	went off alert status or went from green to red. No go. Can't launch it.
906180	909780	Had that ever happened in your career thus far?
909780	918100	I was there for three years. One of them may have gone down for some power problem. Uh,
919140	927860	we had triple power redundancy, but anyway, uh, but nothing like multiple shutdowns. And right after
927860	935300	that one went down, all of them went down one, one at a time. As you know, I'm always on the hunt for
935300	939780	things that helped me stay sharp, focused, and full of energy while I'm diving into life's
939780	945300	mysteries and making this show happen. And I've got to say mud water has completely transformed
